iter	Passed	Remaining
0	96	96901
1	134	67037
2	176	58552
3	200	49908
4	234	46584
5	269	44690
6	291	41370
7	318	39478
8	342	37749
9	367	36350
10	399	35948
11	425	34992
12	452	34366
13	481	33881
14	514	33817
15	549	33783
16	572	33077
17	593	32379
18	621	32104
19	646	31685
20	681	31754
21	732	32557
22	761	32334
23	784	31910
24	816	31860
25	840	31504
26	869	31348
27	893	31030
28	927	31040
29	956	30941
30	986	30826
31	1009	30544
32	1041	30507
33	1063	30210
34	1093	30162
35	1120	30009
36	1152	30007
37	1173	29710
38	1197	29495
39	1236	29671
40	1274	29799
41	1302	29718
42	1332	29663
43	1358	29511
44	1389	29490
45	1419	29430
46	1450	29417
47	1476	29282
48	1509	29296
49	1537	29216
50	1561	29059
51	1582	28856
52	1609	28757
53	1640	28747
54	1665	28608
55	1691	28519
56	1723	28516
57	1755	28510
58	1786	28497
59	1819	28500
60	1847	28445
61	1878	28418
62	1901	28280
63	1932	28264
64	1967	28305
65	1996	28255
66	2025	28207
67	2052	28137
68	2082	28103
69	2118	28143
70	2151	28146
71	2173	28014
72	2202	27968
73	2237	27999
74	2269	27989
75	2294	27891
76	2318	27786
77	2361	27909
78	2390	27866
79	2421	27849
80	2460	27914
81	2496	27951
82	2531	27969
83	2560	27924
84	2592	27907
85	2613	27774
86	2643	27739
87	2671	27690
88	2700	27638
89	2725	27562
90	2760	27571
91	2786	27505
92	2816	27470
93	2843	27409
94	2868	27324
95	2895	27262
96	2922	27210
97	2952	27178
98	2982	27141
99	3013	27125
100	3039	27052
101	3070	27036
102	3103	27029
103	3130	26966
104	3152	26873
105	3182	26844
106	3216	26846
107	3238	26747
108	3272	26748
109	3296	26668
110	3327	26646
111	3357	26617
112	3386	26581
113	3406	26476
114	3437	26451
115	3462	26382
116	3491	26347
117	3518	26295
118	3546	26256
119	3567	26160
120	3589	26077
121	3619	26052
122	3656	26071
123	3685	26033
124	3712	25985
125	3745	25980
126	3770	25915
127	3801	25899
128	3830	25860
129	3849	25762
130	3875	25705
131	3910	25711
132	3942	25697
133	3962	25610
134	3995	25599
135	4027	25589
136	4093	25785
137	4121	25742
138	4143	25665
139	4187	25721
140	4215	25682
141	4248	25672
142	4293	25730
143	4319	25676
144	4356	25686
145	4388	25670
146	4407	25578
147	4437	25547
148	4472	25545
149	4503	25522
150	4541	25537
151	4563	25456
152	4589	25409
153	4617	25366
154	4638	25289
155	4667	25254
156	4698	25227
157	4723	25173
158	4752	25135
159	4771	25052
160	4795	24991
161	4824	24957
162	4846	24886
163	4880	24876
164	4907	24837
165	4935	24794
166	4961	24746
167	4994	24734
168	5020	24684
169	5053	24672
170	5090	24676
171	5127	24685
172	5154	24640
173	5187	24625
174	5249	24747
175	5279	24718
176	5306	24672
177	5337	24646
178	5370	24630
179	5390	24554
180	5421	24529
181	5454	24515
182	5478	24457
183	5508	24426
184	5541	24413
185	5562	24342
186	5592	24312
187	5625	24298
188	5644	24221
189	5666	24158
190	5697	24132
191	5728	24107
192	5760	24087
193	5784	24030
194	5815	24009
195	5847	23986
196	5880	23970
197	5905	23922
198	5943	23924
199	5970	23882
200	5996	23838
201	6016	23767
202	6042	23725
203	6076	23709
204	6110	23698
205	6143	23681
206	6173	23649
207	6208	23638
208	6239	23613
209	6272	23597
210	6307	23587
211	6327	23520
212	6350	23464
213	6383	23445
214	6412	23413
215	6439	23372
216	6462	23316
217	6492	23289
218	6515	23235
219	6539	23186
220	6572	23167
221	6604	23144
222	6636	23122
223	6658	23066
224	6685	23026
225	6715	22999
226	6742	22960
227	6773	22934
228	6796	22880
229	6818	22827
230	6841	22773
231	6871	22748
232	6897	22706
233	6929	22684
234	6953	22635
235	6977	22589
236	6997	22527
237	7022	22482
238	7054	22460
239	7080	22420
240	7104	22375
241	7125	22317
242	7150	22275
243	7176	22236
244	7209	22215
245	7240	22193
246	7265	22149
247	7286	22093
248	7318	22073
249	7354	22064
250	7377	22015
251	7414	22006
252	7443	21978
253	7476	21959
254	7497	21903
255	7524	21867
256	7551	21830
257	7583	21810
258	7606	21762
259	7632	21724
260	7674	21729
261	7705	21703
262	7738	21685
263	7763	21644
264	7787	21597
265	7818	21574
266	7851	21554
267	7882	21529
268	7910	21497
269	7946	21484
270	7970	21440
271	7997	21406
272	8018	21354
273	8046	21319
274	8076	21291
275	8107	21266
276	8133	21230
277	8162	21199
278	8191	21168
279	8213	21119
280	8238	21081
281	8268	21051
282	8298	21025
283	8329	20999
284	8358	20970
285	8386	20935
286	8410	20893
287	8441	20870
288	8469	20837
289	8497	20805
290	8520	20760
291	8548	20726
292	8576	20694
293	8595	20640
294	8623	20608
295	8642	20556
296	8666	20513
297	8696	20486
298	8716	20436
299	8741	20397
300	8771	20370
301	8801	20343
302	8825	20300
303	8854	20272
304	8880	20236
305	8903	20192
306	8936	20172
307	8971	20156
308	9004	20135
309	9028	20096
310	9062	20077
311	9096	20058
312	9124	20027
313	9144	19978
314	9167	19934
315	9198	19911
316	9223	19871
317	9245	19828
318	9276	19803
319	9307	19779
320	9327	19729
321	9354	19697
322	9388	19678
323	9415	19644
324	9444	19615
325	9476	19592
326	9503	19558
327	9527	19518
328	9551	19479
329	9580	19451
330	9600	19404
331	9633	19383
332	9661	19351
333	9694	19330
334	9723	19302
335	9758	19284
336	9778	19238
337	9810	19214
338	9837	19181
339	9858	19136
340	9879	19093
341	9913	19073
342	9945	19049
343	9968	19009
344	10009	19004
345	10033	18965
346	10065	18941
347	10094	18911
348	10128	18892
349	10161	18870
350	10189	18841
351	10220	18814
352	10239	18766
353	10265	18733
354	10290	18696
355	10316	18662
356	10340	18624
357	10371	18598
358	10392	18555
359	10425	18534
360	10453	18504
361	10477	18466
362	10535	18487
363	10561	18453
364	10593	18429
365	10621	18398
366	10645	18360
367	10675	18334
368	10704	18305
369	10724	18260
370	10748	18222
371	10770	18182
372	10790	18138
373	10822	18115
374	10845	18075
375	10878	18054
376	10911	18032
377	10938	17999
378	10961	17960
379	10992	17935
380	11026	17913
381	11051	17879
382	11079	17848
383	11102	17809
384	11127	17774
385	11154	17742
386	11172	17697
387	11196	17661
388	11219	17622
389	11250	17597
390	11282	17573
391	11302	17529
392	11334	17506
393	11357	17468
394	11392	17449
395	11418	17416
396	11451	17393
397	11485	17372
398	11519	17351
399	11548	17322
400	11572	17286
401	11597	17252
402	11631	17231
403	11652	17190
404	11672	17148
405	11703	17122
406	11729	17090
407	11752	17052
408	11787	17032
409	11808	16993
410	11839	16966
411	11860	16926
412	11889	16899
413	11925	16880
414	11953	16850
415	11983	16822
416	12015	16798
417	12045	16771
418	12079	16749
419	12105	16716
420	12131	16684
421	12165	16662
422	12193	16633
423	12221	16602
424	12255	16581
425	12275	16540
426	12315	16526
427	12349	16503
428	12371	16465
429	12400	16438
430	12433	16414
431	12469	16394
432	12498	16366
433	12533	16345
434	12565	16320
435	12586	16282
436	12610	16246
437	12640	16219
438	12662	16182
439	12690	16152
440	12723	16127
441	12752	16098
442	12771	16058
443	12807	16038
444	12832	16004
445	12863	15978
446	12897	15956
447	12925	15925
448	12955	15899
449	12979	15863
450	13019	15848
451	13048	15819
452	13083	15798
453	13108	15764
454	13127	15723
455	13149	15687
456	13187	15668
457	13210	15633
458	13240	15606
459	13275	15583
460	13296	15545
461	13316	15506
462	13352	15486
463	13374	15450
464	13405	15423
465	13428	15388
466	13454	15356
467	13488	15333
468	13518	15306
469	13547	15276
470	13573	15245
471	13596	15209
472	13633	15189
473	13656	15154
474	13681	15121
475	13712	15095
476	13742	15068
477	13772	15039
478	13804	15014
479	13831	14983
480	13859	14954
481	13891	14929
482	13916	14896
483	13949	14871
484	13973	14838
485	14005	14812
486	14030	14779
487	14062	14754
488	14081	14715
489	14103	14678
490	14130	14648
491	14151	14611
492	14174	14577
493	14195	14540
494	14217	14504
495	14242	14472
496	14275	14447
497	14298	14413
498	14327	14384
499	14357	14357
500	14390	14333
501	14411	14296
502	14445	14272
503	14465	14235
504	14487	14200
505	14515	14170
506	14536	14135
507	14564	14105
508	14589	14073
509	14614	14041
510	14645	14015
511	14677	13989
512	14711	13965
513	14741	13938
514	14766	13905
515	14799	13881
516	14820	13845
517	14843	13812
518	14875	13786
519	14906	13760
520	14929	13726
521	14959	13698
522	14989	13671
523	15023	13646
524	15057	13623
525	15095	13602
526	15116	13567
527	15140	13534
528	15168	13505
529	15201	13480
530	15231	13453
531	15258	13422
532	15290	13397
533	15310	13360
534	15344	13336
535	15369	13304
536	15402	13279
537	15433	13253
538	15453	13217
539	15485	13191
540	15514	13162
541	15537	13129
542	15564	13099
543	15597	13074
544	15632	13051
545	15658	13019
546	15689	12993
547	15721	12967
548	15781	12964
549	15814	12938
550	15845	12912
551	15881	12889
552	15900	12852
553	15930	12824
554	15962	12798
555	15985	12765
556	16005	12729
557	16036	12702
558	16070	12678
559	16102	12652
560	16134	12626
561	16167	12600
562	16192	12568
563	16222	12540
564	16255	12515
565	16275	12479
566	16296	12445
567	16326	12417
568	16358	12391
569	16389	12363
570	16417	12334
571	16440	12301
572	16467	12271
573	16502	12247
574	16529	12217
575	16550	12183
576	16585	12159
577	16617	12132
578	16641	12100
579	16660	12064
580	16684	12032
581	16716	12006
582	16738	11972
583	16772	11947
584	16805	11921
585	16826	11887
586	16899	11890
587	16920	11856
588	16948	11826
589	16982	11801
590	17010	11772
591	17030	11737
592	17063	11711
593	17091	11681
594	17113	11649
595	17141	11619
596	17168	11589
597	17191	11556
598	17214	11524
599	17235	11490
600	17268	11464
601	17296	11435
602	17333	11411
603	17367	11386
604	17400	11360
605	17433	11334
606	17465	11308
607	17497	11281
608	17533	11257
609	17566	11231
610	17592	11200
611	17626	11174
612	17651	11143
613	17673	11110
614	17697	11079
615	17731	11053
616	17751	11018
617	17783	10992
618	17816	10966
619	17840	10934
620	17863	10901
621	17882	10867
622	17908	10837
623	17941	10811
624	17970	10782
625	17998	10752
626	18019	10719
627	18047	10690
628	18072	10659
629	18105	10633
630	18127	10600
631	18159	10573
632	18185	10543
633	18209	10512
634	18249	10489
635	18285	10465
636	18309	10433
637	18342	10407
638	18376	10381
639	18401	10350
640	18434	10324
641	18456	10291
642	18477	10259
643	18506	10230
644	18537	10202
645	18571	10177
646	18604	10150
647	18633	10121
648	18659	10091
649	18692	10065
650	18712	10031
651	18741	10003
652	18761	9969
653	18792	9942
654	18824	9915
655	18844	9881
656	18873	9853
657	18905	9826
658	18943	9802
659	18977	9776
660	19005	9746
661	19038	9720
662	19072	9694
663	19106	9668
664	19141	9642
665	19174	9615
666	19203	9587
667	19224	9554
668	19253	9525
669	19286	9499
670	19309	9467
671	19342	9440
672	19374	9413
673	19399	9383
674	19429	9355
675	19457	9325
676	19485	9296
677	19517	9269
678	19543	9239
679	19572	9210
680	19593	9178
681	19615	9146
682	19638	9114
683	19667	9086
684	19687	9053
685	19714	9023
686	19736	8991
687	19772	8966
688	19804	8939
689	19823	8906
690	19845	8874
691	19864	8841
692	19888	8810
693	19909	8778
694	19943	8751
695	19966	8721
696	19989	8690
697	20025	8664
698	20071	8642
699	20095	8612
700	20119	8581
701	20147	8552
702	20180	8525
703	20201	8493
704	20232	8466
705	20259	8436
706	20283	8406
707	20316	8379
708	20336	8346
709	20357	8315
710	20382	8284
711	20414	8257
712	20448	8231
713	20467	8198
714	20499	8171
715	20531	8143
716	20565	8117
717	20588	8086
718	20609	8054
719	20641	8027
720	20672	7999
721	20698	7969
722	20732	7943
723	20757	7913
724	20787	7884
725	20809	7853
726	20840	7825
727	20866	7796
728	20889	7765
729	20921	7737
730	20954	7711
731	20988	7684
732	21010	7653
733	21041	7625
734	21110	7611
735	21145	7584
736	21182	7559
737	21219	7533
738	21239	7501
739	21272	7474
740	21302	7445
741	21334	7418
742	21368	7391
743	21391	7360
744	21426	7333
745	21447	7302
746	21471	7272
747	21502	7244
748	21535	7216
749	21568	7189
750	21590	7158
751	21613	7127
752	21644	7099
753	21664	7068
754	21683	7036
755	21716	7008
756	21744	6980
757	21779	6953
758	21799	6921
759	21823	6891
760	21855	6863
761	21886	6835
762	21908	6805
763	21931	6774
764	21958	6745
765	21981	6714
766	22012	6687
767	22046	6659
768	22069	6629
769	22093	6599
770	22118	6569
771	22152	6542
772	22177	6512
773	22200	6482
774	22221	6451
775	22254	6424
776	22283	6395
777	22319	6368
778	22357	6342
779	22380	6312
780	22414	6285
781	22445	6257
782	22470	6227
783	22497	6198
784	22521	6168
785	22557	6141
786	22582	6111
787	22614	6084
788	22646	6056
789	22669	6025
790	22702	5998
791	22738	5971
792	22763	5941
793	22784	5911
794	22818	5883
795	22850	5856
796	22881	5828
797	22914	5800
798	22938	5770
799	22971	5742
800	22992	5712
801	23015	5682
802	23044	5653
803	23069	5623
804	23097	5595
805	23129	5567
806	23149	5536
807	23171	5506
808	23191	5475
809	23223	5447
810	23244	5417
811	23266	5386
812	23302	5359
813	23327	5330
814	23346	5299
815	23377	5271
816	23409	5243
817	23439	5215
818	23472	5187
819	23495	5157
820	23517	5127
821	23554	5100
822	23591	5073
823	23628	5046
824	23660	5018
825	23689	4990
826	23715	4961
827	23740	4931
828	23772	4903
829	23792	4873
830	23813	4842
831	23839	4813
832	23867	4784
833	23891	4755
834	23918	4726
835	23951	4698
836	23971	4668
837	24000	4639
838	24034	4612
839	24053	4581
